state,district,pincode,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Andhra Pradesh,Adilabad,504295,2026-01-01,3.46875,0.0,10.042562462426615,2025-12-01,2
Andhra Pradesh,Adilabad,504296,2026-01-01,3.9248046875,0.40289467946775304,7.446714695532247,2025-12-01,5
Andhra Pradesh,Adilabad,504299,2026-01-01,3.44775390625,0.0,10.119172421189994,2025-12-01,1
Andhra Pradesh,Adilabad,504301,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Adilabad,504302,2026-01-01,1.0625,0.4802932447297156,1.6447067552702843,2025-12-01,1
Andhra Pradesh,Adilabad,504303,2025-03-01,1.0,1.0,1.0,2025-02-01,1
Andhra Pradesh,Adilabad,504304,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Adilabad,504306,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Adilabad,504307,2026-01-01,2.3984375,0.18649303001606388,4.610381969983936,2025-12-01,3
Andhra Pradesh,Adilabad,504308,2026-01-01,1.09765625,0.19050485524285032,2.0048076447571495,2025-12-01,1
Andhra Pradesh,Adilabad,504309,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Adilabad,504310,2025-03-01,1.0,1.0,1.0,2025-02-01,1
Andhra Pradesh,Adilabad,504311,2025-12-01,1.9296875,0.0,5.751139664945335,2025-11-01,1
Andhra Pradesh,Adilabad,504312,2026-01-01,2.0,0.0,4.419476527405601,2025-12-01,3
Andhra Pradesh,Adilabad,504313,2026-01-01,1.865234375,0.0,4.887729682179055,2025-12-01,1
Andhra Pradesh,Adilabad,504346,2026-01-01,1.52734375,0.0,3.6692293835697027,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,507111,2026-01-01,1.5625,0.0,3.254092458007622,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,507121,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,507129,2025-12-01,1.1015625,0.0690437345939745,2.1340812654060253,2025-11-01,1
Andhra Pradesh,Alluri Sitharama Raju,507134,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andhra Pradesh,Alluri Sitharama Raju,507135,2025-10-01,1.0,1.0,1.0,2025-09-01,1
Andhra Pradesh,Alluri Sitharama Raju,531024,2026-01-01,3.07421875,0.727823692751405,5.4206138072485945,2025-12-01,4
Andhra Pradesh,Alluri Sitharama Raju,531029,2026-01-01,2.5361328125,0.0,7.011156787087731,2025-12-01,2
Andhra Pradesh,Alluri Sitharama Raju,531030,2025-02-01,1.0,1.0,1.0,2025-01-01,1
Andhra Pradesh,Alluri Sitharama Raju,531040,2026-01-01,3.49755859375,0.0,7.597417791601865,2025-12-01,5
Andhra Pradesh,Alluri Sitharama Raju,531077,2026-01-01,2.4365234375,1.1505484275562443,3.7224984474437557,2025-12-01,2
Andhra Pradesh,Alluri Sitharama Raju,531084,2026-01-01,1.28125,0.2014357442228909,2.361064255777109,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,531087,2026-01-01,1.203125,0.06606653418537656,2.3401834658146234,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,531105,2026-01-01,1.625,0.0,3.8546821192585226,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,531111,2026-01-01,2.19677734375,0.0,5.510099332332871,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,531116,2025-12-01,1.5,0.0,3.2007347892982643,2025-11-01,1
Andhra Pradesh,Alluri Sitharama Raju,531118,2026-01-01,1.1875,0.0,2.9341202658108534,2025-12-01,1
Andhra Pradesh,Alluri Sitharama Raju,531133,2026-01-01,1.50390625,0.3036837483115977,2.704128751688402,2025-12-01,2
