state,district,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Andhra Pradesh,Vizianagaram,2026-01-01,98.25341796875,66.64541077550561,129.8614251619944,2025-12-01,92
Andhra Pradesh,Warangal,2026-01-01,35.171875,25.5819691612138,44.7617808387862,2025-12-01,36
Andhra Pradesh,West Godavari,2026-01-01,151.97900390625,107.79237358601213,196.16563422648787,2025-12-01,155
Andhra Pradesh,Y. S. R,2026-01-01,22.6396484375,15.42720444212517,29.85209243287483,2025-12-01,24
Arunachal Pradesh,Anjaw,2026-01-01,1.6875,0.0,3.5795530160079063,2025-12-01,1
Arunachal Pradesh,Changlang,2026-01-01,20.982421875,0.0,46.37969330156473,2025-12-01,15
Arunachal Pradesh,Dibang Valley,2025-09-01,3.0,3.0,3.0,2025-08-01,3
Arunachal Pradesh,East Kameng,2026-01-01,3.4677734375,0.0,7.78162009838274,2025-12-01,4
Arunachal Pradesh,East Siang,2026-01-01,3.95947265625,0.3091946327679027,7.609750679732097,2025-12-01,3
Arunachal Pradesh,Kamle,2025-09-01,2.59375,0.0,6.747471576195414,2025-08-01,2
Arunachal Pradesh,Kra Daadi,2025-11-01,2.84375,1.555157048416066,4.132342951583934,2025-10-01,3
Arunachal Pradesh,Kurung Kumey,2026-01-01,2.296875,0.06428933743577625,4.529460662564224,2025-12-01,3
Arunachal Pradesh,Leparada,2025-10-01,1.0,1.0,1.0,2025-09-01,1
Arunachal Pradesh,Lohit,2026-01-01,4.7060546875,0.0,10.744010272613867,2025-12-01,6
Arunachal Pradesh,Longding,2026-01-01,21.3369140625,0.0,44.39476765971992,2025-12-01,22
Arunachal Pradesh,Lower Dibang Valley,2026-01-01,4.44140625,1.344350214944352,7.5384622850556475,2025-12-01,5
Arunachal Pradesh,Lower Siang,2025-11-01,2.0703125,1.3871241583257607,2.7535008416742395,2025-10-01,2
Arunachal Pradesh,Lower Subansiri,2026-01-01,2.9609375,0.0,6.183500712350843,2025-12-01,2
Arunachal Pradesh,Namsai,2026-01-01,3.77099609375,0.0,8.963247714842096,2025-12-01,5
Arunachal Pradesh,Papum Pare,2026-01-01,14.39013671875,8.717327636979455,20.062945800520545,2025-12-01,16
Arunachal Pradesh,Shi-yomi,2025-12-01,1.8125,0.0,6.08289824565234,2025-11-01,1
Arunachal Pradesh,Siang,2026-01-01,3.2265625,0.1050976725827617,6.348027327417238,2025-12-01,3
Arunachal Pradesh,Tawang,2026-01-01,3.623046875,0.0,12.754193284474646,2025-12-01,1
Arunachal Pradesh,Tirap,2026-01-01,3.005859375,0.17511007946390178,5.836608670536098,2025-12-01,3
Arunachal Pradesh,Upper Siang,2026-01-01,2.2890625,0.0,7.479108090199229,2025-12-01,1
Arunachal Pradesh,Upper Subansiri,2026-01-01,5.41796875,0.12358288973000064,10.71235461027,2025-12-01,4
Arunachal Pradesh,West Kameng,2026-01-01,6.1376953125,0.0,14.927845475358536,2025-12-01,9
Arunachal Pradesh,West Siang,2026-01-01,6.34033203125,0.0,13.652680366639359,2025-12-01,9
Assam,Bajali,2026-01-01,2.09375,0.0,4.407385833321824,2025-12-01,3
Assam,Baksa,2026-01-01,51.0908203125,0.0,128.04942125635762,2025-12-01,51
Assam,Barpeta,2026-01-01,240.83447265625,0.0,568.0742382176271,2025-12-01,220
Assam,Biswanath,2026-01-01,38.58935546875,7.017858975226353,70.16085196227365,2025-12-01,49
Assam,Bongaigaon,2026-01-01,66.8017578125,11.655075203350982,121.94844042164902,2025-12-01,60
Assam,Cachar,2026-01-01,220.7509765625,0.0,721.1916761244908,2025-12-01,197
Assam,Charaideo,2026-01-01,18.3466796875,0.0,44.619177102671856,2025-12-01,11
Assam,Chirang,2026-01-01,45.2568359375,0.0,145.04399511738762,2025-12-01,42
Assam,Darrang,2026-01-01,236.93994140625,0.0,515.088992283451,2025-12-01,341
Assam,Dhemaji,2026-01-01,127.32958984375,0.0,342.45342241335095,2025-12-01,148
Assam,Dhubri,2026-01-01,233.310546875,20.64796031932738,445.97313343067265,2025-12-01,213
Assam,Dibrugarh,2026-01-01,102.57470703125,0.0,318.593982722905,2025-12-01,105
Assam,Dima Hasao,2026-01-01,4.78125,0.0,69.58663894970908,2025-12-01,1
Assam,Goalpara,2026-01-01,119.02294921875,0.0,409.6972182584303,2025-12-01,72
Assam,Golaghat,2026-01-01,117.947265625,0.0,538.3336653899942,2025-12-01,128
Assam,Hailakandi,2026-01-01,88.09228515625,0.0,213.38830639352022,2025-12-01,50
Assam,Hojai,2026-01-01,82.4521484375,0.0,280.2583095595376,2025-12-01,63
Assam,Jorhat,2026-01-01,90.87548828125,0.0,201.42055176438947,2025-12-01,93
Assam,Kamrup,2026-01-01,188.08447265625,0.0,565.3813297846425,2025-12-01,181
Assam,Kamrup Metro,2026-01-01,130.56005859375,25.174166413833476,235.94595077366654,2025-12-01,139
Assam,Karbi Anglong,2026-01-01,140.12939453125,0.0,359.86911210080524,2025-12-01,137
Assam,Karimganj,2026-01-01,261.44189453125,0.0,593.2022032390531,2025-12-01,205
Assam,Kokrajhar,2026-01-01,88.01220703125,0.0,217.7867651509459,2025-12-01,119
Assam,Lakhimpur,2026-01-01,119.07421875,0.0,274.7172550175544,2025-12-01,108
Assam,Majuli,2026-01-01,8.91552734375,0.0,27.082974358735925,2025-12-01,4
Assam,Marigaon,2026-01-01,128.658203125,0.0,427.9048067411569,2025-12-01,65
Assam,Nagaon,2026-01-01,262.89111328125,13.699329250823695,512.0828973116763,2025-12-01,206
Assam,Nalbari,2026-01-01,77.748046875,18.04540557799662,137.45068817200337,2025-12-01,61
Assam,North Cachar Hills,2026-01-01,14.52587890625,0.0,48.241488921697034,2025-12-01,7
Assam,Sibsagar,2026-01-01,41.29638671875,0.0,95.28823584322168,2025-12-01,29
